Restaurant Name,Cuisines,Average Cost for two,Price range,Aggregate rating
Le Petit Souffle,"French, Japanese, Desserts",1100,3,4.8
Izakaya Kikufuji,Japanese,1200,3,4.5
Heat - Edsa Shangri-La,"Seafood, Asian, Filipino, Indian",4000,4,4.4
Ooma,"Japanese, Sushi",1500,4,4.9
Sambo Kojin,"Japanese, Korean",1500,4,4.8
Din Tai Fung,Chinese,1000,3,4.4
Buffet 101,"Asian, European",2000,4,4.0
Vikings,"Seafood, Filipino, Asian, European",2000,4,4.2
Spiral - Sofitel Philippine Plaza Manila,"European, Asian, Indian",6000,4,4.9
Locavore,Filipino,1100,3,4.8
Silantro Fil-Mex,"Filipino, Mexican",800,3,4.9
Mad Mark's Creamery & Good Eats,"American, Ice Cream, Desserts",900,3,4.2
Silantro Fil-Mex,"Filipino, Mexican",800,3,4.8
Guevarra's,Filipino,1000,3,4.2
Sodam Korean Restaurant,Korean,700,3,4.3
Cafe Arabelle,"Cafe, American, Italian, Filipino",800,3,3.6
Nonna's Pasta & Pizzeria,"Italian, Pizza",850,3,4.0
Balay Dako,Filipino,1200,3,4.5
Hobing Korean Dessert Cafe,"Cafe, Korean, Desserts",600,2,4.5
Wildflour Cafe + Bakery,"Cafe, Bakery, American, Italian",1500,4,4.4
NIU by Vikings,"Seafood, American, Mediterranean, Japanese",3000,4,4.7
The Food Hall by Todd English,"American, Asian, Italian, Seafood",1800,4,4.5
Chez Michou,"Fast Food, French",55,2,3.0
Caf�� Daniel Briand,Cafe,30,1,3.8
Casa do Biscoito Mineiro,Bakery,45,2,3.7
Maori,Brazilian,60,3,3.8
Pizza �� Bessa,Pizza,50,2,3.2
Sushi Loko,Japanese,80,3,3.1
Beirute,Arabian,90,3,3.7
New Koto,Japanese,200,4,3.7
Sandubas Caf��,"Brazilian, Cafe",30,1,0.0
Villa Tevere,Italian,150,4,4.1
Rovereto,Pizza,100,4,3.1
Buena Carne,"Bar Food, Brazilian",60,3,3.6
Taco Pep,"Mexican, Grill",100,4,4.3
Coco Bambu,International,230,4,4.2
Tayp��,"Peruvian, Latin American",100,4,3.6
Outback Steakhouse,"American, Grill",150,4,4.0
Manzu��,Seafood,240,4,3.2
Coco Bambu,International,230,4,4.9
Gero,Italian,350,4,3.3
Brazilian American Burgers,"American, Burger",50,2,3.6
Pesqueiro Eco Gourmet,"Seafood, Bar Food, Brazilian",140,4,4.0
Confeitaria Colombo,"Desserts, Cafe",100,4,4.8
Bibi,"Juices, Healthy Food",60,3,4.7
Cervantes,"Beverages, Bar Food, Fast Food",90,3,4.5
Amir,Lebanese,170,4,4.2
TT Burger,Burger,60,3,4.8
Braseiro da G��vea,"Brazilian, Bar Food",100,4,4.9
Balada Mix,"Brazilian, Healthy Food, Juices, Pizza",90,3,4.6
Garota de Ipanema,"Brazilian, Bar Food",120,4,4.9
Zaz�� Bistr�� Tropical,Brazilian,170,4,4.6
Fil�� de Ouro,Brazilian,90,3,4.3
D.O.C Ristorante,Italian,150,4,4.0
Sushi Leblon,Japanese,250,4,4.6
Talho Capixaba,"Bakery, Sandwich, Brazilian",120,4,4.4
Leme Light,Brazilian,40,2,4.2
Shirley,"Brazilian, Seafood",250,4,4.2
